,Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Movie ID,Character Name,speaker,dialogue,Emotion
54,55,3,8,32,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",1,Petunia Dursley,petunia dursley,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",surprise
55,56,3,8,21,Caveat Smeltona. Proudest moment of my life.,1,Vernon Dursley,vernon dursley,Caveat Smeltona. Proudest moment of my life.,joy
57,58,3,8,32,"What, you? Go to Smeltings?",1,Petunia Dursley,petunia dursley,"What, you? Go to Smeltings?",surprise
58,59,3,8,21,Ha!,1,Vernon Dursley,vernon dursley,Ha!,joy
59,60,3,8,32,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",1,Petunia Dursley,petunia dursley,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",anger
62,63,3,8,21,"Oh, Marge is ill! Ate a funny whelk.",1,Vernon Dursley,vernon dursley,"Oh, Marge is ill! Ate a funny whelk.",joy
63,64,3,8,31,Dad! Look! Harry's got a letter!,1,Dudley Dursley,dudley dursley,Dad! Look! Harry's got a letter!,surprise
64,65,3,8,1,"Hey, give it back! It's mine!",1,Harry Potter,harry potter,"Hey, give it back! It's mine!",anger
65,66,3,8,21,Yours? Who'd be writing to you?,1,Vernon Dursley,vernon dursley,Yours? Who'd be writing to you?,surprise
67,68,3,8,32,"Have a lovely day at the office, dear.",1,Petunia Dursley,petunia dursley,"Have a lovely day at the office, dear.",joy
68,69,3,8,21,Shoo! Go on!,1,Vernon Dursley,vernon dursley,Shoo! Go on!,surprise
70,71,3,8,1,Because there's no post on Sunday?,1,Harry Potter,harry potter,Because there's no post on Sunday?,surprise
71,72,3,8,21,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",1,Vernon Dursley,vernon dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",sadness
72,73,3,8,31,AHH! Make it stop! Please make it stop!,1,Dudley Dursley,dudley dursley,AHH! Make it stop! Please make it stop!,anger
73,74,3,8,21,"Go away, ahh!",1,Vernon Dursley,vernon dursley,"Go away, ahh!",anger
74,75,3,8,31,What is it? Please tell me what's happening!,1,Dudley Dursley,dudley dursley,What is it? Please tell me what's happening!,anger
75,76,3,8,21,Give me that! Give me that letter!,1,Vernon Dursley,vernon dursley,Give me that! Give me that letter!,anger
76,77,3,8,1,Get off! Ahh!,1,Harry Potter,harry potter,Get off! Ahh!,anger
77,78,3,8,21,Ahh!,1,Vernon Dursley,vernon dursley,Ahh!,surprise
78,79,3,8,1,They're my letters! Let go of me!,1,Harry Potter,harry potter,They're my letters! Let go of me!,anger
79,80,3,8,21,That's it! We're going away! Far away! Where they can't find us!,1,Vernon Dursley,vernon dursley,That's it! We're going away! Far away! Where they can't find us!,anger
80,81,3,8,31,"Daddy's gone mad, hasn't he?!",1,Dudley Dursley,dudley dursley,"Daddy's gone mad, hasn't he?!",anger
82,83,4,10,21,Who's there? Ahh!,1,Vernon Dursley,vernon dursley,Who's there? Ahh!,surprise
83,84,4,10,5,Sorry 'bout that.,1,Rubeus Hagrid,rubeus hagrid,Sorry 'bout that.,sadness
84,85,4,10,21,"I demand that you leave at once, sir! You are breaking and entering!",1,Vernon Dursley,vernon dursley,"I demand that you leave at once, sir! You are breaking and entering!",anger
85,86,4,10,5,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",1,Rubeus Hagrid,rubeus hagrid,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",joy
86,87,4,10,31,I-I-I'm not Harry.,1,Dudley Dursley,dudley dursley,I-I-I'm not Harry.,fear
88,89,4,10,5,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",1,Rubeus Hagrid,rubeus hagrid,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",fear
89,90,4,10,1,Thank you!,1,Harry Potter,harry potter,Thank you!,joy
91,92,4,10,1,"Excuse me, who are you?",1,Harry Potter,harry potter,"Excuse me, who are you?",surprise
93,94,4,10,1,"Sorry, no.",1,Harry Potter,harry potter,"Sorry, no.",sadness
94,95,4,10,5,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",1,Rubeus Hagrid,rubeus hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",surprise
95,96,4,10,1,Learned what?,1,Harry Potter,harry potter,Learned what?,surprise
97,98,4,10,1,I-I'm a what?,1,Harry Potter,harry potter,I-I'm a what?,surprise
100,101,4,10,5,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",1,Rubeus Hagrid,rubeus hagrid,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",fear
101,102,4,10,1,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",1,Harry Potter,harry potter,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",joy
102,103,4,10,21,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!",1,Vernon Dursley,vernon dursley,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!",anger
103,104,4,10,1,You knew? You knew all along and you never told me?,1,Harry Potter,harry potter,You knew? You knew all along and you never told me?,surprise
104,105,4,10,32,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",1,Petunia Dursley,petunia dursley,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",surprise
105,106,4,10,1,Blown up? You told me my parents died in a car crash!,1,Harry Potter,harry potter,Blown up? You told me my parents died in a car crash!,surprise
106,107,4,10,5,A car crash? A car crash kill James and Lily Potter?,1,Rubeus Hagrid,rubeus hagrid,A car crash? A car crash kill James and Lily Potter?,fear
108,109,4,10,5,It's an outrage! It's a scandal!,1,Rubeus Hagrid,rubeus hagrid,It's an outrage! It's a scandal!,anger
109,110,4,10,21,He'll not be going!,1,Vernon Dursley,vernon dursley,He'll not be going!,anger
113,114,4,10,21,I will not pay for some crackpot old fool to teach him magic tricks!,1,Vernon Dursley,vernon dursley,I will not pay for some crackpot old fool to teach him magic tricks!,anger
114,115,4,10,5,"Never, insult Albus Dumbledore, in front of me.",1,Rubeus Hagrid,rubeus hagrid,"Never, insult Albus Dumbledore, in front of me.",anger
115,116,4,10,31,Ahh!,1,Dudley Dursley,dudley dursley,Ahh!,surprise
118,119,4,10,5,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",1,Rubeus Hagrid,rubeus hagrid,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",sadness
130,131,5,5,139,"Welcome back, Mr. Potter, welcome back.",1,Man,man,"Welcome back, Mr. Potter, welcome back.",joy
131,132,5,5,132,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",1,Goblin,goblin,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",surprise
132,133,5,5,41,Harry P-potter. C-can't tell you how pleased I am to meet you.,1,Quirinus Quirrell,quirinus quirrell,Harry P-potter. C-can't tell you how pleased I am to meet you.,joy
133,134,5,5,5,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",1,Rubeus Hagrid,rubeus hagrid,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",surprise
134,135,5,5,1,"Oh, nice to meet you.",1,Harry Potter,harry potter,"Oh, nice to meet you.",joy
135,136,5,5,41,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",1,Quirinus Quirrell,quirinus quirrell,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",fear
137,138,5,5,1,Goodbye.,1,Harry Potter,harry potter,Goodbye.,sadness
138,139,5,5,5,"See, Harry, you're famous!",1,Rubeus Hagrid,rubeus hagrid,"See, Harry, you're famous!",joy
139,140,5,5,1,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",1,Harry Potter,harry potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",surprise
141,142,5,5,138,"It's a world class racing broom. Look at it, it's the new Nimbus 2000! It's the fastest model yet.",1,Boy,boy,"It's a world class racing broom. Look at it, it's the new Nimbus 2000! It's the fastest model yet.",surprise
142,143,6,2,1,"But, Hagrid, how am I to pay for all this? I haven't any money.",1,Harry Potter,harry potter,"But, Hagrid, how am I to pay for all this? I haven't any money.",sadness
145,146,6,2,5,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",1,Rubeus Hagrid,rubeus hagrid,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",sadness
150,151,6,2,5,"Didn't think your mum and dad would leave you with nothing now, did ya?",1,Rubeus Hagrid,rubeus hagrid,"Didn't think your mum and dad would leave you with nothing now, did ya?",surprise
152,153,6,2,1,"What's in there, Hagrid?",1,Harry Potter,harry potter,"What's in there, Hagrid?",surprise
154,155,6,2,30,Stand back.,1,Griphook,griphook,Stand back.,anger
159,160,7,4,43,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",1,Garrick Ollivander,garrick ollivander,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",surprise
160,161,7,4,1,"Sorry, but what's curious?",1,Harry Potter,harry potter,"Sorry, but what's curious?",sadness
161,162,7,4,43,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",1,Garrick Ollivander,garrick ollivander,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",surprise
162,163,7,4,1,And...who owned that wand?,1,Harry Potter,harry potter,And...who owned that wand?,surprise
163,164,7,4,43,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",1,Garrick Ollivander,garrick ollivander,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",fear
164,165,7,4,5,Harry! Harry! Happy birthday!,1,Rubeus Hagrid,rubeus hagrid,Harry! Harry! Happy birthday!,joy
165,166,7,4,1,Wow.,1,Harry Potter,harry potter,Wow.,surprise
167,168,8,5,1,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",1,Harry Potter,harry potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",anger
173,174,8,5,5,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. Except you.",1,Rubeus Hagrid,rubeus hagrid,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. Except you.",fear
174,175,8,5,1,Me? Voldemort tried to kill...me?,1,Harry Potter,harry potter,Me? Voldemort tried to kill...me?,surprise
176,177,8,5,1,What happened to...to You-Know-Who?,1,Harry Potter,harry potter,What happened to...to You-Know-Who?,surprise
178,179,9,71,5,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.",1,Rubeus Hagrid,rubeus hagrid,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.",surprise
180,181,9,71,139,Sorry.,1,Man,man,Sorry.,sadness
181,182,9,71,1,"Excuse me, excuse me.",1,Harry Potter,harry potter,"Excuse me, excuse me.",anger
184,185,9,71,149,"9&¾? Think you're being funny, do ya?",1,Old man,old man,"9&¾? Think you're being funny, do ya?",joy
187,188,9,71,26,"Come on. Platform 9&¾ this way! All right, Percy, you first.",1,Molly Weasley,molly weasley,"Come on. Platform 9&¾ this way! All right, Percy, you first.",anger
189,190,9,71,19,"He's not Fred, I am!",1,George Weasley,george weasley,"He's not Fred, I am!",anger
191,192,9,71,26,"Oh, I'm sorry, George.",1,Molly Weasley,molly weasley,"Oh, I'm sorry, George.",sadness
193,194,9,71,1,Excuse me! C-could you tell me how to-,1,Harry Potter,harry potter,Excuse me! C-could you tell me how to-,surprise
194,195,9,71,26,"How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous.",1,Molly Weasley,molly weasley,"How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous.",fear
200,201,10,42,2,"So-so it's true? I mean, do you really have the...the...",1,Ron Weasley,ron weasley,"So-so it's true? I mean, do you really have the...the...",surprise
201,202,10,42,1,The what?,1,Harry Potter,harry potter,The what?,surprise
202,203,10,42,2,Scar...?,1,Ron Weasley,ron weasley,Scar...?,surprise
208,209,10,42,2,Whoa!,1,Ron Weasley,ron weasley,Whoa!,surprise
213,214,10,42,1,I got Dumbledore!,1,Harry Potter,harry potter,I got Dumbledore!,surprise
215,216,10,42,1,"Hey, he's gone!",1,Harry Potter,harry potter,"Hey, he's gone!",surprise
219,220,10,42,1,Yeah!,1,Harry Potter,harry potter,Yeah!,surprise
224,225,10,42,2,"Sunshine, daises, butter mellow, turn this stupid fat rat yellow!",1,Ron Weasley,ron weasley,"Sunshine, daises, butter mellow, turn this stupid fat rat yellow!",joy
225,226,10,42,3,"Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",1,Hermione Granger,hermione granger,"Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",surprise
228,229,11,33,5,"Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!",1,Rubeus Hagrid,rubeus hagrid,"Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!",fear
231,232,11,33,2,Whoaa!,1,Ron Weasley,ron weasley,Whoaa!,surprise
232,233,11,33,5,"Right then. This way to the boats! Come on, now, follow me.",1,Rubeus Hagrid,rubeus hagrid,"Right then. This way to the boats! Come on, now, follow me.",anger
235,236,11,33,10,Trevor!  Sorry.,1,Neville Longbottom,neville longbottom,Trevor!  Sorry.,sadness
242,243,12,36,4,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",1,Albus Dumbledore,albus dumbledore,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",sadness
246,247,12,36,128,"Ah, right then...hmm...right. Okay...Gryffindor!!",1,Sorting Hat,sorting hat,"Ah, right then...hmm...right. Okay...Gryffindor!!",joy
251,252,12,36,1,Ahh!,1,Harry Potter,harry potter,Ahh!,surprise
252,253,12,36,2,"Harry, what is it?",1,Ron Weasley,ron weasley,"Harry, what is it?",surprise
254,255,12,36,128,Let's see...I know...Hufflepuff!,1,Sorting Hat,sorting hat,Let's see...I know...Hufflepuff!,joy
256,257,12,36,128,Ha! Another Weasley. I know just what to do with you... Gryffindor!!,1,Sorting Hat,sorting hat,Ha! Another Weasley. I know just what to do with you... Gryffindor!!,surprise
263,264,12,36,14,We got Potter! We got Potter!,1,Fred Weasley,fred weasley,We got Potter! We got Potter!,surprise
264,265,12,36,19,We got Potter! We got Potter!,1,George Weasley,george weasley,We got Potter! We got Potter!,surprise
267,268,13,36,1,Wow.,1,Harry Potter,harry potter,Wow.,surprise
269,270,13,36,1,"Say, Percy, who's that teacher talking to Professor Quirrell?",1,Harry Potter,harry potter,"Say, Percy, who's that teacher talking to Professor Quirrell?",surprise
273,274,13,36,2,Ahh!,1,Ron Weasley,ron weasley,Ahh!,surprise
275,276,13,36,117,Whoo-hoo-hoo!,1,Bloody Baron,bloody baron,Whoo-hoo-hoo!,surprise
278,279,13,36,47,"Dismal. Once again, my request to join the headless hunt has been denied.",1,Nearly Headless Nick,nearly headless nick,"Dismal. Once again, my request to join the headless hunt has been denied.",sadness
279,280,13,36,2,I know you! You're Nearly Headless Nick!,1,Ron Weasley,ron weasley,I know you! You're Nearly Headless Nick!,surprise
281,282,13,36,3,Nearly headless? How can you be nearly headless?,1,Hermione Granger,hermione granger,Nearly headless? How can you be nearly headless?,fear
283,284,13,36,2,Ahh!,1,Ron Weasley,ron weasley,Ahh!,surprise
288,289,13,28,10,"Seamus, that picture's moving!",1,Neville Longbottom,neville longbottom,"Seamus, that picture's moving!",surprise
289,290,13,28,2,"Look at that one, Harry!",1,Ron Weasley,ron weasley,"Look at that one, Harry!",surprise
291,292,13,28,134,"Oh, look! Look! Who's that girl?",1,Girl,girl,"Oh, look! Look! Who's that girl?",surprise
293,294,13,28,134,Who's that?,1,Girl,girl,Who's that?,surprise
294,295,13,28,141,Password?,1,The Fat Lady,the fat lady,Password?,surprise
296,297,13,39,134,"Oh, wow.",1,Girl,girl,"Oh, wow.",surprise
298,299,14,61,2,"Whew, we made it. Can you imagine the look on McGonagall's face if we were late?",1,Ron Weasley,ron weasley,"Whew, we made it. Can you imagine the look on McGonagall's face if we were late?",surprise
299,300,14,61,2,That was bloody brilliant.,1,Ron Weasley,ron weasley,That was bloody brilliant.,surprise
308,309,14,49,1,"Clearly, Hermione knows. Since it's a pity not to ask her.",1,Harry Potter,harry potter,"Clearly, Hermione knows. Since it's a pity not to ask her.",sadness
313,314,14,36,2,Ah. Mail's here!,1,Ron Weasley,ron weasley,Ah. Mail's here!,surprise
315,316,14,36,29,"Hey, look! Neville's got a Remembrall!",1,Seamus Finnigan,seamus finnigan,"Hey, look! Neville's got a Remembrall!",joy
317,318,14,36,10,"The only problem is, I can't remember what I've forgotten.",1,Neville Longbottom,neville longbottom,"The only problem is, I can't remember what I've forgotten.",surprise
320,321,15,52,154,"Good afternoon, Madam Hooch.",1,Class,class,"Good afternoon, Madam Hooch.",joy
323,324,15,52,1,Wow.,1,Harry Potter,harry potter,Wow.,surprise
325,326,15,52,50,With feeling!,1,Rolanda Hooch,rolanda hooch,With feeling!,joy
327,328,15,52,2,"Up!!  Ooh!  Shut up, Harry.",1,Ron Weasley,ron weasley,"Up!!  Ooh!  Shut up, Harry.",surprise
328,329,15,52,50,"Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end.  When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2...",1,Rolanda Hooch,rolanda hooch,"Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end.  When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2...",fear
331,332,15,52,134,"Neville, what are you doing?",1,Girl,girl,"Neville, what are you doing?",surprise
334,335,15,52,50,M-M-Mr. Longbottom! Mr. Longbottom!,1,Rolanda Hooch,rolanda hooch,M-M-Mr. Longbottom! Mr. Longbottom!,surprise
335,336,15,52,10,AHH!,1,Neville Longbottom,neville longbottom,AHH!,surprise
336,337,15,52,50,Mr. Longbottom!,1,Rolanda Hooch,rolanda hooch,Mr. Longbottom!,anger
337,338,15,52,10,Down! Down! Ahhhh!,1,Neville Longbottom,neville longbottom,Down! Down! Ahhhh!,surprise
338,339,15,52,1,Neville!,1,Harry Potter,harry potter,Neville!,surprise
340,341,15,52,50,Come back down this instant!,1,Rolanda Hooch,rolanda hooch,Come back down this instant!,anger
341,342,15,52,10,AHH!,1,Neville Longbottom,neville longbottom,AHH!,surprise
342,343,15,52,10,Help!,1,Neville Longbottom,neville longbottom,Help!,fear
343,344,15,52,50,Mr. Longbottom-!,1,Rolanda Hooch,rolanda hooch,Mr. Longbottom-!,joy
344,345,15,52,10,Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!,1,Neville Longbottom,neville longbottom,Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!,surprise
347,348,15,52,10,Owowowow.,1,Neville Longbottom,neville longbottom,Owowowow.,surprise
348,349,15,52,50,"Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get.  Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch.",1,Rolanda Hooch,rolanda hooch,"Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get.  Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch.",sadness
351,352,15,52,12,"No. I think I'll leave it somewhere for Longbottom to find.  How 'bout up on the roof?  What's the matter, Potter? Bit beyond your reach?",1,Draco Malfoy,draco malfoy,"No. I think I'll leave it somewhere for Longbottom to find.  How 'bout up on the roof?  What's the matter, Potter? Bit beyond your reach?",surprise
352,353,15,52,3,"Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot.",1,Hermione Granger,hermione granger,"Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot.",anger
